series_id,surface
0,carpet
1,concrete
2,tiled
3,carpet
4,fine_concrete
5,wood
6,concrete
7,wood
8,concrete
9,concrete
10,soft_pvc
11,soft_pvc
12,hard_tiles_large_space
13,concrete
14,soft_pvc
15,concrete
16,carpet
17,concrete
18,tiled
19,soft_tiles
20,concrete
21,concrete
22,concrete
23,hard_tiles_large_space
24,concrete
25,wood
26,concrete
27,soft_pvc
28,wood
29,concrete
30,wood
31,soft_tiles
32,concrete
33,soft_pvc
34,soft_tiles
35,hard_tiles_large_space
36,fine_concrete
37,tiled
38,concrete
39,soft_pvc
40,tiled
41,soft_tiles
42,soft_pvc
43,wood
44,soft_pvc
45,carpet
46,wood
47,carpet
48,wood
49,concrete
50,hard_tiles_large_space
51,concrete
52,wood
53,carpet
54,fine_concrete
55,wood
56,tiled
57,wood
58,wood
59,concrete
60,concrete
61,wood
62,carpet
63,concrete
64,concrete
65,tiled
66,concrete
67,soft_tiles
68,soft_pvc
69,wood
70,tiled
71,soft_pvc
72,soft_tiles
73,wood
74,hard_tiles_large_space
75,tiled
76,tiled
77,soft_pvc
78,concrete
79,soft_pvc
80,soft_tiles
81,tiled
82,wood
83,tiled
84,concrete
85,concrete
86,concrete
87,concrete
88,soft_pvc
89,concrete
90,wood
91,concrete
92,concrete
93,wood
94,tiled
95,carpet
96,wood
97,concrete
98,concrete
99,wood
100,hard_tiles_large_space
101,wood
102,soft_pvc
103,concrete
104,hard_tiles_large_space
105,concrete
106,soft_pvc
107,concrete
108,wood
109,tiled
110,soft_pvc
111,wood
112,hard_tiles_large_space
113,fine_concrete
114,wood
115,soft_tiles
116,concrete
117,concrete
118,carpet
119,concrete
120,fine_concrete
121,concrete
122,soft_pvc
123,wood
124,fine_concrete
125,tiled
126,tiled
127,wood
128,soft_pvc
129,concrete
130,hard_tiles_large_space
131,concrete
132,concrete
133,hard_tiles_large_space
134,soft_pvc
135,concrete
136,soft_pvc
137,fine_concrete
138,concrete
139,soft_pvc
140,concrete
141,carpet
142,hard_tiles_large_space
143,fine_concrete
144,wood
145,tiled
146,concrete
147,concrete
148,soft_tiles
149,fine_concrete
150,wood
151,concrete
152,carpet
153,tiled
154,concrete
155,soft_tiles
156,tiled
157,wood
158,tiled
159,soft_pvc
160,soft_pvc
161,hard_tiles_large_space
162,hard_tiles_large_space
163,hard_tiles_large_space
164,wood
165,hard_tiles_large_space
166,fine_concrete
167,hard_tiles_large_space
168,hard_tiles_large_space
169,hard_tiles_large_space
170,wood
171,hard_tiles_large_space
172,concrete
173,hard_tiles_large_space
174,fine_concrete
175,concrete
176,concrete
177,wood
178,concrete
179,hard_tiles_large_space
180,carpet
181,tiled
182,fine_concrete
183,hard_tiles_large_space
184,concrete
185,soft_pvc
186,soft_pvc
187,soft_pvc
188,soft_pvc
189,wood
190,fine_concrete
191,wood
192,concrete
193,carpet
194,soft_pvc
195,soft_pvc
196,wood
197,concrete
198,concrete
199,concrete
200,hard_tiles_large_space
201,concrete
202,fine_concrete
203,hard_tiles_large_space
204,soft_tiles
205,concrete
206,soft_pvc
207,wood
208,fine_concrete
209,hard_tiles_large_space
210,concrete
211,wood
212,soft_pvc
213,tiled
214,soft_tiles
215,fine_concrete
216,concrete
217,fine_concrete
218,soft_pvc
219,concrete
220,wood
221,fine_concrete
222,soft_tiles
223,wood
224,concrete
225,fine_concrete
226,hard_tiles_large_space
227,concrete
228,wood
229,tiled
230,soft_tiles
231,fine_concrete
232,concrete
233,concrete
234,wood
235,wood
236,soft_tiles
237,concrete
238,soft_pvc
239,fine_concrete
240,soft_tiles
241,soft_tiles
242,tiled
243,wood
244,wood
245,soft_pvc
246,tiled
247,fine_concrete
248,carpet
249,hard_tiles_large_space
250,tiled
