series_id,surface
0,tiled
1,carpet
2,tiled
3,soft_tiles
4,soft_tiles
5,concrete
6,soft_pvc
7,concrete
8,wood
9,wood
10,fine_concrete
11,concrete
12,wood
13,soft_pvc
14,fine_concrete
15,wood
16,concrete
17,soft_tiles
18,wood
19,soft_pvc
20,soft_pvc
21,wood
22,soft_pvc
23,hard_tiles_large_space
24,concrete
25,wood
26,concrete
27,tiled
28,wood
29,concrete
30,fine_concrete
31,concrete
32,concrete
33,fine_concrete
34,soft_pvc
35,soft_pvc
36,fine_concrete
37,soft_tiles
38,fine_concrete
39,soft_pvc
40,carpet
41,wood
42,soft_pvc
43,soft_pvc
44,soft_pvc
45,wood
46,wood
47,carpet
48,wood
49,wood
50,wood
51,soft_pvc
52,fine_concrete
53,wood
54,fine_concrete
55,wood
56,tiled
57,concrete
58,wood
59,fine_concrete
60,concrete
61,concrete
62,wood
63,concrete
64,concrete
65,soft_pvc
66,soft_pvc
67,soft_pvc
68,soft_pvc
69,tiled
70,tiled
71,fine_concrete
72,concrete
73,wood
74,hard_tiles_large_space
75,wood
76,tiled
77,soft_pvc
78,concrete
79,soft_pvc
80,soft_tiles
81,tiled
82,wood
83,tiled
84,concrete
85,soft_tiles
86,tiled
87,concrete
88,soft_pvc
89,concrete
90,wood
91,concrete
92,soft_tiles
93,concrete
94,tiled
95,concrete
96,soft_pvc
97,concrete
98,soft_tiles
99,wood
100,tiled
101,tiled
102,soft_pvc
103,soft_pvc
104,wood
105,concrete
106,concrete
107,wood
108,wood
109,tiled
110,soft_pvc
111,concrete
112,soft_pvc
113,fine_concrete
114,concrete
115,soft_tiles
116,wood
117,wood
118,hard_tiles_large_space
119,soft_pvc
120,wood
121,wood
122,fine_concrete
123,concrete
124,wood
125,tiled
126,tiled
127,wood
128,fine_concrete
129,concrete
130,wood
131,fine_concrete
132,soft_pvc
133,wood
134,hard_tiles_large_space
135,carpet
136,fine_concrete
137,fine_concrete
138,soft_pvc
139,fine_concrete
140,soft_tiles
141,concrete
142,soft_pvc
143,soft_pvc
144,concrete
145,soft_tiles
146,concrete
147,concrete
148,concrete
149,concrete
150,wood
151,soft_pvc
152,carpet
153,wood
154,soft_pvc
155,soft_pvc
156,tiled
157,carpet
158,tiled
159,soft_pvc
160,soft_tiles
161,hard_tiles_large_space
162,soft_pvc
163,wood
164,fine_concrete
165,soft_tiles
166,fine_concrete
167,hard_tiles_large_space
168,soft_tiles
169,hard_tiles_large_space
170,wood
171,soft_pvc
172,wood
173,soft_pvc
174,fine_concrete
175,concrete
176,concrete
177,tiled
178,concrete
179,hard_tiles_large_space
180,concrete
181,fine_concrete
182,soft_pvc
183,soft_pvc
184,concrete
185,concrete
186,tiled
187,fine_concrete
188,soft_pvc
189,wood
190,fine_concrete
191,wood
192,soft_pvc
193,concrete
194,wood
195,soft_pvc
196,wood
197,soft_pvc
198,concrete
199,soft_tiles
200,hard_tiles_large_space
201,soft_pvc
202,soft_tiles
203,hard_tiles_large_space
204,soft_tiles
205,soft_pvc
206,soft_pvc
207,fine_concrete
208,fine_concrete
209,concrete
210,soft_pvc
211,wood
212,soft_pvc
213,soft_tiles
214,wood
215,soft_tiles
216,soft_tiles
217,soft_tiles
218,soft_pvc
219,concrete
220,soft_pvc
221,wood
222,concrete
223,soft_pvc
224,wood
225,soft_pvc
226,wood
227,soft_pvc
228,fine_concrete
229,tiled
230,wood
231,fine_concrete
232,concrete
233,soft_pvc
234,fine_concrete
235,soft_tiles
236,soft_pvc
237,concrete
238,concrete
239,soft_pvc
240,soft_pvc
241,tiled
242,tiled
243,soft_pvc
244,wood
245,tiled
246,wood
247,tiled
248,carpet
249,concrete
250,tiled
251,carpet
252,wood
253,concrete
254,concrete
255,soft_tiles
256,wood
257,soft_pvc
258,fine_concrete
259,soft_tiles
260,concrete
261,soft_pvc
262,fine_concrete
263,concrete
264,concrete
265,soft_tiles
266,hard_tiles_large_space
267,tiled
268,tiled
269,soft_pvc
270,fine_concrete
271,soft_tiles
272,concrete
273,soft_tiles
274,fine_concrete
275,concrete
276,tiled
277,wood
278,soft_pvc
279,soft_pvc
280,concrete
281,wood
282,soft_pvc
283,fine_concrete
284,soft_tiles
285,soft_pvc
286,soft_pvc
287,concrete
288,tiled
289,fine_concrete
290,tiled
291,hard_tiles_large_space
292,tiled
293,soft_tiles
294,concrete
295,soft_pvc
296,soft_pvc
297,concrete
298,soft_tiles
299,concrete
300,soft_pvc
301,soft_pvc
302,wood
303,fine_concrete
304,hard_tiles_large_space
305,soft_pvc
306,tiled
307,concrete
308,concrete
309,concrete
310,tiled
311,fine_concrete
312,soft_pvc
313,wood
314,fine_concrete
315,concrete
316,soft_pvc
317,soft_tiles
318,tiled
319,wood
320,concrete
321,soft_pvc
322,soft_pvc
323,soft_tiles
324,tiled
325,wood
326,concrete
327,carpet
328,concrete
329,carpet
330,tiled
331,fine_concrete
332,tiled
333,soft_pvc
334,concrete
335,concrete
336,concrete
337,wood
338,fine_concrete
339,wood
340,soft_pvc
341,tiled
342,soft_pvc
343,soft_tiles
344,wood
345,concrete
346,fine_concrete
347,wood
348,concrete
349,soft_pvc
350,tiled
351,soft_pvc
352,tiled
353,wood
354,wood
355,tiled
356,soft_pvc
357,soft_tiles
358,tiled
359,soft_pvc
360,tiled
361,concrete
362,concrete
363,soft_pvc
364,tiled
365,wood
366,fine_concrete
367,wood
368,soft_pvc
369,concrete
370,fine_concrete
371,wood
372,soft_pvc
373,concrete
374,wood
375,wood
376,soft_tiles
377,tiled
378,hard_tiles_large_space
379,fine_concrete
380,concrete
381,soft_tiles
382,wood
383,tiled
384,fine_concrete
385,concrete
386,fine_concrete
387,soft_pvc
388,tiled
389,fine_concrete
390,soft_pvc
391,wood
392,concrete
393,soft_pvc
394,concrete
395,soft_tiles
396,soft_pvc
397,soft_pvc
398,concrete
399,concrete
400,tiled
401,fine_concrete
402,carpet
403,wood
404,wood
405,soft_tiles
406,wood
407,fine_concrete
408,concrete
409,soft_pvc
410,concrete
411,wood
412,concrete
413,soft_pvc
414,soft_pvc
415,hard_tiles_large_space
416,soft_pvc
417,soft_pvc
418,soft_tiles
419,concrete
420,wood
421,wood
422,tiled
423,soft_pvc
424,wood
425,soft_pvc
426,wood
427,wood
428,tiled
429,concrete
430,concrete
431,tiled
432,soft_pvc
433,concrete
434,soft_tiles
435,wood
436,concrete
437,soft_tiles
438,carpet
439,soft_pvc
440,soft_pvc
441,soft_tiles
442,soft_pvc
443,soft_pvc
444,wood
445,soft_pvc
446,hard_tiles_large_space
447,hard_tiles_large_space
448,wood
449,wood
450,fine_concrete
451,concrete
452,wood
453,wood
454,soft_tiles
455,concrete
456,concrete
457,soft_pvc
458,tiled
459,soft_pvc
460,soft_tiles
461,concrete
462,tiled
463,concrete
464,concrete
465,concrete
466,concrete
467,soft_tiles
468,soft_tiles
469,soft_tiles
470,soft_pvc
471,carpet
472,hard_tiles_large_space
473,tiled
474,concrete
475,soft_pvc
476,wood
477,concrete
478,fine_concrete
479,wood
480,soft_tiles
481,concrete
482,concrete
483,hard_tiles_large_space
484,fine_concrete
485,soft_pvc
486,concrete
487,concrete
488,soft_pvc
489,concrete
490,hard_tiles_large_space
491,soft_pvc
492,concrete
493,carpet
494,soft_pvc
495,wood
496,wood
497,concrete
498,concrete
499,concrete
500,concrete
501,wood
502,concrete
503,tiled
504,soft_pvc
505,fine_concrete
506,concrete
507,concrete
508,soft_pvc
509,wood
510,soft_pvc
511,soft_tiles
512,soft_pvc
513,soft_tiles
514,soft_pvc
515,tiled
516,soft_pvc
517,wood
518,tiled
519,soft_tiles
520,concrete
521,soft_tiles
522,soft_pvc
523,wood
524,tiled
525,hard_tiles_large_space
526,wood
527,tiled
528,wood
529,concrete
530,soft_pvc
531,fine_concrete
532,soft_pvc
533,soft_pvc
534,concrete
535,concrete
536,concrete
537,soft_tiles
538,wood
539,wood
540,tiled
541,carpet
542,soft_pvc
543,concrete
544,soft_pvc
545,soft_pvc
546,wood
547,soft_pvc
548,concrete
549,concrete
550,soft_tiles
551,soft_tiles
552,concrete
553,concrete
554,soft_tiles
555,concrete
556,wood
557,wood
558,concrete
559,soft_pvc
560,fine_concrete
561,tiled
562,tiled
563,concrete
564,concrete
565,hard_tiles_large_space
566,tiled
567,concrete
568,soft_pvc
569,soft_tiles
570,tiled
571,carpet
572,soft_pvc
