series_id,group_id,surface,run_id,run_pos
0,13,fine_concrete,21,28
1,31,concrete,32,14
2,20,concrete,5,4
3,31,concrete,32,42
4,22,soft_tiles,12,24
5,1,tiled,31,72
6,34,soft_pvc,24,26
7,31,concrete,32,49
8,33,hard_tiles_large_space,9,13
9,11,tiled,31,37
10,26,soft_pvc,18,149
11,1,tiled,31,80
12,25,carpet,22,28
13,25,carpet,22,32
14,12,concrete,8,20
15,7,carpet,17,17
16,7,carpet,17,37
17,21,soft_tiles,28,43
18,8,tiled,26,75
19,9,soft_tiles,0,0
20,11,tiled,31,34
21,33,hard_tiles_large_space,9,5
22,22,soft_tiles,12,52
23,28,tiled,26,23
24,9,soft_tiles,0,25
25,15,soft_tiles,14,14
26,13,fine_concrete,21,36
27,27,hard_tiles,27,3
28,11,tiled,31,25
29,33,hard_tiles_large_space,9,15
30,9,soft_tiles,0,19
31,9,soft_tiles,0,43
32,35,fine_concrete,10,4
33,32,concrete,25,12
34,20,concrete,11,5
35,12,concrete,8,51
36,1,tiled,31,68
37,25,carpet,22,29
38,34,soft_pvc,23,25
39,23,wood,1,8
40,13,fine_concrete,21,17
41,14,wood,30,1
42,35,fine_concrete,10,9
43,23,wood,1,42
44,15,soft_tiles,14,12
45,27,hard_tiles,27,1
46,26,soft_pvc,18,150
47,30,fine_concrete,21,57
48,32,concrete,25,24
49,3,soft_pvc,18,65
50,32,concrete,2,10
51,9,soft_tiles,4,8
52,9,soft_tiles,0,26
53,20,concrete,25,63
54,25,carpet,22,4
55,22,soft_tiles,12,1
56,35,fine_concrete,10,51
57,35,fine_concrete,10,47
58,7,carpet,17,7
59,22,soft_tiles,12,8
60,32,concrete,25,36
61,28,tiled,26,20
62,29,soft_pvc,6,44
63,16,hard_tiles_large_space,29,10
64,3,soft_pvc,18,76
65,32,concrete,25,3
66,8,tiled,26,43
67,28,tiled,26,35
68,20,concrete,25,74
69,3,soft_pvc,18,49
70,0,concrete,2,45
71,12,concrete,8,4
72,3,soft_pvc,18,77
73,34,soft_pvc,24,36
74,23,wood,1,0
75,35,fine_concrete,10,20
76,9,soft_tiles,4,3
77,13,fine_concrete,21,49
78,29,soft_pvc,6,14
79,35,fine_concrete,10,34
80,9,soft_tiles,0,17
81,1,tiled,31,88
82,34,soft_pvc,24,7
83,10,wood,20,3
84,35,fine_concrete,10,7
85,15,soft_tiles,14,21
86,20,concrete,25,66
87,26,soft_pvc,18,134
88,9,soft_tiles,0,6
89,23,wood,1,22
90,29,soft_pvc,6,27
91,26,soft_pvc,18,110
92,30,fine_concrete,21,58
93,13,fine_concrete,21,51
94,0,concrete,2,57
95,22,soft_tiles,12,25
96,10,wood,19,5
97,14,wood,30,13
98,33,hard_tiles_large_space,9,11
99,11,tiled,31,51
100,13,fine_concrete,21,54
101,21,soft_tiles,28,50
102,10,wood,19,2
103,26,soft_pvc,18,156
104,13,fine_concrete,21,11
105,19,soft_pvc,23,3
106,4,soft_tiles,0,83
107,21,soft_tiles,28,19
108,29,soft_pvc,6,53
109,19,soft_pvc,7,29
110,23,wood,1,36
111,13,fine_concrete,21,31
112,18,soft_pvc,18,166
113,12,concrete,8,5
114,4,soft_tiles,0,61
115,6,soft_pvc,18,13
116,18,soft_pvc,18,183
117,15,soft_tiles,14,11
118,25,carpet,22,3
119,16,hard_tiles_large_space,29,21
120,1,tiled,31,82
121,17,soft_tiles,28,4
122,29,soft_pvc,6,11
123,19,soft_pvc,7,41
124,33,hard_tiles_large_space,9,9
125,32,concrete,25,16
126,8,tiled,26,40
127,8,tiled,26,55
128,7,carpet,17,40
129,4,soft_tiles,0,49
130,19,soft_pvc,7,33
131,6,soft_pvc,18,45
132,13,fine_concrete,21,20
133,26,soft_pvc,18,121
134,15,soft_tiles,14,7
135,4,soft_tiles,0,48
136,4,soft_tiles,0,78
137,9,soft_tiles,0,10
138,23,wood,1,11
139,0,concrete,2,47
140,4,soft_tiles,0,92
141,11,tiled,31,44
142,33,hard_tiles_large_space,9,29
143,29,soft_pvc,6,13
144,0,concrete,2,0
145,17,soft_tiles,28,6
146,11,tiled,31,4
147,14,wood,30,7
148,27,hard_tiles,27,15
149,7,carpet,17,30
150,9,soft_tiles,0,13
151,0,concrete,2,33
152,0,concrete,2,46
153,16,hard_tiles_large_space,29,23
154,6,soft_pvc,18,30
155,13,fine_concrete,21,5
156,17,soft_tiles,28,5
157,0,concrete,2,31
158,6,soft_pvc,18,1
159,22,soft_tiles,12,32
160,28,tiled,26,22
161,13,fine_concrete,21,4
162,12,concrete,8,33
163,34,soft_pvc,24,30
164,14,wood,7,55
165,33,hard_tiles_large_space,9,32
166,26,soft_pvc,18,146
167,13,fine_concrete,21,35
168,35,fine_concrete,10,25
169,13,fine_concrete,21,10
170,11,tiled,31,32
171,1,tiled,31,90
172,14,wood,7,47
173,20,concrete,25,76
174,8,tiled,26,81
175,16,hard_tiles_large_space,29,29
176,7,carpet,17,27
177,10,wood,19,26
178,6,soft_pvc,18,14
179,16,hard_tiles_large_space,29,28
180,9,soft_tiles,4,2
181,1,tiled,31,93
182,20,concrete,25,84
183,16,hard_tiles_large_space,29,36
184,19,soft_pvc,7,6
185,33,hard_tiles_large_space,9,33
186,18,soft_pvc,18,189
187,11,tiled,31,3
188,7,carpet,17,18
189,27,hard_tiles,27,9
190,35,fine_concrete,10,38
191,21,soft_tiles,28,48
192,10,wood,19,14
193,29,soft_pvc,6,55
194,35,fine_concrete,10,49
195,5,concrete,13,5
196,22,soft_tiles,12,21
197,10,wood,20,17
198,0,concrete,2,56
199,12,concrete,8,17
200,28,tiled,26,10
201,29,soft_pvc,6,6
202,5,concrete,13,3
203,18,soft_pvc,18,180
204,14,wood,30,15
205,26,soft_pvc,18,126
206,7,carpet,17,43
207,2,wood,3,2
208,12,concrete,8,42
209,16,hard_tiles_large_space,29,9
210,21,soft_tiles,28,30
211,19,soft_pvc,7,32
212,12,concrete,8,13
213,25,carpet,22,30
214,34,soft_pvc,24,16
215,2,wood,3,3
216,2,wood,3,0
217,23,wood,1,14
218,21,soft_tiles,28,32
219,7,carpet,17,54
220,28,tiled,26,7
221,9,soft_tiles,4,0
222,3,soft_pvc,18,59
223,3,soft_pvc,18,58
224,33,hard_tiles_large_space,9,39
225,11,tiled,31,7
226,10,wood,19,19
227,3,soft_pvc,18,63
228,19,soft_pvc,7,15
229,10,wood,20,2
230,31,concrete,32,18
231,35,fine_concrete,10,48
232,26,soft_pvc,18,135
233,20,concrete,25,81
234,11,tiled,31,22
235,0,concrete,2,29
236,15,soft_tiles,14,29
237,18,soft_pvc,18,188
238,13,fine_concrete,21,48
239,1,tiled,31,56
240,4,soft_tiles,0,84
241,3,soft_pvc,18,86
242,20,concrete,5,9
243,20,concrete,5,5
244,25,carpet,22,37
245,17,soft_tiles,28,11
246,18,soft_pvc,18,197
247,29,soft_pvc,6,51
248,15,soft_tiles,14,19
249,6,soft_pvc,18,37
250,25,carpet,22,39
251,2,wood,3,15
252,29,soft_pvc,6,35
253,9,soft_tiles,0,15
254,1,tiled,31,62
255,23,wood,30,25
256,2,wood,3,12
257,27,hard_tiles,27,5
258,4,soft_tiles,0,96
259,15,soft_tiles,14,5
260,34,soft_pvc,24,33
261,12,concrete,8,29
262,34,soft_pvc,24,13
263,10,wood,19,6
264,3,soft_pvc,18,97
265,10,wood,20,10
266,19,soft_pvc,7,2
267,26,soft_pvc,18,128
268,20,concrete,5,0
269,26,soft_pvc,18,112
270,10,wood,20,15
271,8,tiled,26,88
272,21,soft_tiles,28,68
273,16,hard_tiles_large_space,29,2
274,13,fine_concrete,21,44
275,15,soft_tiles,14,27
276,11,tiled,31,33
277,12,concrete,8,3
278,15,soft_tiles,14,34
279,6,soft_pvc,18,28
280,35,fine_concrete,10,8
281,20,concrete,25,57
282,34,soft_pvc,24,31
283,19,soft_pvc,7,10
284,28,tiled,26,33
285,33,hard_tiles_large_space,9,54
286,19,soft_pvc,7,14
287,18,soft_pvc,18,217
288,29,soft_pvc,6,0
289,18,soft_pvc,18,214
290,29,soft_pvc,6,23
291,4,soft_tiles,0,80
292,21,soft_tiles,28,22
293,9,soft_tiles,0,34
294,29,soft_pvc,6,8
295,29,soft_pvc,6,3
296,33,hard_tiles_large_space,9,45
297,23,wood,1,32
298,4,soft_tiles,0,65
299,32,concrete,25,13
300,33,hard_tiles_large_space,9,24
301,26,soft_pvc,18,136
302,19,soft_pvc,23,13
303,1,tiled,31,73
304,31,concrete,32,37
305,8,tiled,26,92
306,32,concrete,25,49
307,4,soft_tiles,0,73
308,7,carpet,17,6
309,8,tiled,26,77
310,5,concrete,13,8
311,33,hard_tiles_large_space,9,52
312,7,carpet,17,34
313,11,tiled,31,28
314,21,soft_tiles,28,40
315,32,concrete,25,5
316,21,soft_tiles,28,45
317,28,tiled,26,3
318,7,carpet,17,50
319,32,concrete,2,5
320,6,soft_pvc,18,40
321,4,soft_tiles,0,45
322,23,wood,1,31
323,20,concrete,25,50
324,1,tiled,31,74
325,26,soft_pvc,18,152
326,6,soft_pvc,18,25
327,19,soft_pvc,7,0
328,14,wood,7,45
329,19,soft_pvc,23,2
330,20,concrete,5,3
331,34,soft_pvc,24,18
332,2,wood,3,1
333,0,concrete,2,49
334,15,soft_tiles,14,23
335,12,concrete,8,0
336,23,wood,30,30
337,19,soft_pvc,7,38
338,28,tiled,26,21
339,22,soft_tiles,12,18
340,6,soft_pvc,18,26
341,23,wood,1,6
342,20,concrete,25,69
343,16,hard_tiles_large_space,29,32
344,24,wood,1,47
345,0,concrete,2,35
346,3,soft_pvc,18,75
347,8,tiled,26,85
348,4,soft_tiles,0,77
349,20,concrete,5,1
350,33,hard_tiles_large_space,9,0
351,21,soft_tiles,28,29
352,35,fine_concrete,10,44
353,12,concrete,8,48
354,26,soft_pvc,18,147
355,14,wood,7,48
356,0,concrete,2,17
357,21,soft_tiles,28,58
358,35,fine_concrete,10,22
359,10,wood,19,29
360,0,concrete,2,36
361,3,soft_pvc,18,68
362,32,concrete,25,38
363,3,soft_pvc,18,70
364,26,soft_pvc,18,130
365,21,soft_tiles,28,65
366,1,tiled,31,61
367,19,soft_pvc,7,11
368,28,tiled,26,25
369,23,wood,1,9
370,9,soft_tiles,0,24
371,9,soft_tiles,4,1
372,9,soft_tiles,0,11
373,31,concrete,32,44
374,29,soft_pvc,6,31
375,21,soft_tiles,28,27
376,33,hard_tiles_large_space,9,25
377,15,soft_tiles,14,49
378,8,tiled,26,44
379,22,soft_tiles,12,48
380,15,soft_tiles,14,50
381,26,soft_pvc,18,140
382,28,tiled,26,29
383,26,soft_pvc,18,154
384,16,hard_tiles_large_space,29,27
385,21,soft_tiles,28,52
386,1,tiled,31,57
387,31,concrete,32,11
388,29,soft_pvc,6,33
389,25,carpet,22,11
390,26,soft_pvc,18,115
391,23,wood,1,4
392,25,carpet,15,6
393,35,fine_concrete,10,35
394,35,fine_concrete,10,19
395,25,carpet,22,33
396,20,concrete,5,2
397,21,soft_tiles,28,62
